,0,1,2
0,10848.0,12496.0,11900.0
1,13202.0,13976.0,13218.0
2,14920.0,15024.0,14508.0
3,16200.0,16402.0,15630.0
4,17166.0,18010.0,16626.0
5,17498.0,17884.0,19438.0
6,18626.0,19104.0,20438.0
7,20562.0,19344.0,22392.0
8,21406.0,20004.0,23412.0
9,21962.0,20616.0,24140.0
10,22442.0,21464.0,25182.0
11,22766.0,22426.0,25534.0
12,22982.0,22982.0,26374.0
13,23744.0,23970.0,26612.0
14,23960.0,24924.0,26936.0
15,24196.0,25058.0,27044.0
16,25528.0,25654.0,27410.0
17,25932.0,25948.0,27442.0
18,26304.0,26248.0,27516.0
19,26478.0,26318.0,28088.0
20,26784.0,26968.0,28260.0
21,27052.0,26878.0,28168.0
22,28142.0,27200.0,28702.0
23,28602.0,27046.0,28840.0
24,29904.0,27106.0,29488.0
25,30802.0,27408.0,29822.0
26,31856.0,27964.0,30280.0
27,32176.0,28266.0,30612.0
28,32348.0,28804.0,30896.0
29,32700.0,29336.0,31318.0
30,33082.0,29756.0,32084.0
