,0,1,2
0,12660,13980,15100
1,14320,15220,15100
2,15840,16060,16160
3,17520,17460,17080
4,17880,19740,18580
5,18460,19740,20600
6,20700,20460,22360
7,21700,20500,23960
8,23380,21060,25060
9,23380,21380,25060
10,23380,22620,26300
11,23820,23140,26300
12,23820,23760,26800
13,24680,25260,27240
14,24680,25800,28060
15,25960,26340,28060
16,26360,26340,28060
17,26400,26340,28060
18,26780,26960,28260
19,27020,26960,28360
20,27180,27800,28680
21,28780,27800,28680
22,29300,28600,29560
23,29500,28600,29560
24,30960,28600,30560
25,32380,28640,30560
26,32380,29200,30600
27,33100,29200,31700
28,33100,29680,31700
29,33960,30200,32820
30,33960,30200,33620
