,0,1,2
0,12340,12220,13100
1,13200,12920,14980
2,14340,13020,14980
3,14680,14300,15240
4,15260,14780,15240
5,15260,14780,15380
6,15340,15160,15920
7,15760,15900,16080
8,15760,15900,16580
9,15760,15960,16580
10,15980,16120,16580
11,16260,16140,16580
12,16260,16880,17080
13,16600,16880,17080
14,16600,17420,17120
15,16760,17420,17700
16,16760,17420,17700
17,16800,17420,17700
18,17120,17420,17700
19,17120,17620,17700
20,17340,17760,17700
21,17340,17760,17700
22,17360,18420,17700
23,17360,18580,17700
24,17360,18580,17700
25,17360,18580,17920
26,17360,18580,17920
27,17620,18580,18040
28,17620,18580,18040
29,17620,18580,18180
30,17660,18940,18180
31,17660,18940,18240
32,18140,18940,18240
33,18140,18940,18460
34,18180,19540,18460
35,18180,19540,18460
36,18180,19540,18460
37,18240,19540,18620
38,18240,19540,18620
39,18240,19540,18620
40,18240,19540,18620
41,18240,19540,18620
42,18240,19540,18700
43,18280,19720,18700
44,18280,19720,18700
45,18280,19720,18700
46,18280,19720,18740
47,18280,19720,18760
48,18280,19760,18840
49,18280,19760,18840
50,18380,19760,19140
51,18480,20020,19140
52,18480,20260,19140
53,18480,20260,19140
54,18580,20260,19180
55,18580,20260,19180
56,18620,20260,19340
57,18620,20260,19340
58,18620,20360,19340
59,18620,20360,19340
60,18620,20360,19340
61,18620,20360,19400
62,18620,20360,19540
63,18640,20360,19640
64,18640,20500,19640
65,18760,20500,19640
66,18960,20500,19640
67,18960,20540,19640
68,18960,20540,19640
69,18960,20540,19640
70,18960,20560,19800
71,19000,20620,19800
72,19040,20620,19920
73,19220,20720,19920
74,19220,20720,19920
75,19220,20720,19920
76,19220,20720,19920
77,19220,20740,19920
78,19220,20780,19920
79,19220,20780,19920
80,19220,20780,19920
81,19220,20780,19960
82,19220,20780,20000
83,19220,20780,20000
84,19220,20820,20000
85,19220,20820,20040
86,19220,20880,20040
87,19220,20880,20040
88,19220,20900,20040
89,19240,20900,20040
90,19240,20900,20040
91,19240,20900,20040
92,19240,20900,20040
93,19240,20900,20040
94,19240,20900,20040
95,19300,20900,20040
96,19300,20900,20040
97,19300,20900,20040
98,19300,20900,20080
99,19300,20900,20080
100,19300,20920,20080
