,0,1,2
0,15920,15460,16020
1,16480,18680,19140
2,18540,19820,20280
3,22180,22020,20980
4,22180,22560,22580
5,24340,24540,25100
6,26460,26620,26220
7,26460,27540,28160
8,28060,28300,30320
9,28620,28860,30320
10,30020,29660,30480
11,31500,31420,30480
12,31500,31480,32400
13,31860,32420,32760
14,33260,32620,32800
15,33800,32620,33600
16,34220,32820,33640
17,34220,33160,35240
18,35680,33380,35240
19,35720,33800,35600
20,36520,34820,35600
21,36860,34820,35920
22,37320,35180,37040
23,37320,35180,37040
24,37320,35440,37040
25,37320,35480,37040
26,38660,35940,37900
27,38660,36080,37980
28,38800,36800,38640
29,39020,36980,38640
30,39020,36980,38840
