,0,1,2
0,10848.0,12500.0,12358.0
1,13208.0,14940.0,15160.0
2,14800.0,14976.0,16144.0
3,16060.0,16130.0,18120.0
4,16584.0,16638.0,18484.0
5,18272.0,16702.0,19178.0
6,19324.0,17704.0,19516.0
7,20038.0,18876.0,21758.0
8,21154.0,20006.0,22432.0
9,22850.0,22332.0,22776.0
10,23754.0,22424.0,22792.0
11,24558.0,22842.0,23192.0
12,24848.0,23646.0,23916.0
13,25656.0,23872.0,25410.0
14,26532.0,24698.0,25524.0
15,26792.0,25654.0,26540.0
16,26982.0,26424.0,27096.0
17,27444.0,26742.0,27250.0
18,28112.0,27146.0,27366.0
19,28862.0,28768.0,27324.0
20,29904.0,29234.0,28166.0
21,31004.0,29978.0,28536.0
22,31398.0,30106.0,29316.0
23,31580.0,30332.0,29624.0
24,32018.0,30630.0,30392.0
25,32340.0,31142.0,30592.0
26,32664.0,31284.0,30790.0
27,33194.0,31494.0,31036.0
28,33582.0,31702.0,31206.0
29,34156.0,32092.0,31298.0
30,34044.0,32084.0,32242.0
