,0,1,2
0,10848.0,11414.0,12104.0
1,13208.0,14736.0,14772.0
2,14800.0,16162.0,16450.0
3,16476.0,17434.0,18158.0
4,17692.0,18720.0,20018.0
5,18662.0,19672.0,21086.0
6,19252.0,19880.0,21886.0
7,20582.0,22582.0,22504.0
8,20926.0,23774.0,22892.0
9,21488.0,24596.0,23502.0
10,21960.0,25390.0,23902.0
11,23082.0,25286.0,25526.0
12,24110.0,25702.0,26256.0
13,24630.0,26084.0,26748.0
14,25092.0,26906.0,27294.0
15,25982.0,27192.0,27742.0
16,26168.0,27840.0,27986.0
17,26838.0,28300.0,28562.0
18,27478.0,28774.0,29072.0
19,27470.0,28880.0,29660.0
20,27420.0,30308.0,30104.0
21,28436.0,31324.0,30540.0
22,28670.0,31740.0,30880.0
23,29300.0,32146.0,30884.0
24,29566.0,32654.0,31432.0
25,29786.0,32724.0,31532.0
26,30120.0,32898.0,32080.0
27,30692.0,32916.0,32152.0
28,31036.0,32962.0,32480.0
29,31342.0,32974.0,32600.0
30,31340.0,33094.0,32624.0
