,0,1,2
0,12660,13540,15240
1,15520,15700,16480
2,16420,17680,17520
3,17320,19200,19440
4,18700,19200,21460
5,20760,20460,21940
6,20760,20560,23200
7,21420,23320,23360
8,21420,25400,23720
9,23320,25620,25120
10,24580,26700,25240
11,24580,26700,26600
12,25740,26860,26880
13,25740,26960,27440
14,26020,27880,28460
15,26860,27880,28540
16,26860,28680,28540
17,27460,29420,29720
18,27840,29420,30760
19,27940,29420,30760
20,28220,31620,30760
21,29420,31780,31320
22,29420,33160,31600
23,29900,33240,32040
24,30020,33240,32040
25,30400,33240,32040
26,31260,33580,33240
27,31260,33620,33240
28,31580,33620,33240
29,31860,33620,33240
30,32580,33620,33240
