,0,1,2
0,12660,13940,13860
1,13000,13940,17640
2,17100,15880,17640
3,17140,16820,18980
4,18580,17320,20460
5,19740,18900,20540
6,20120,19520,22520
7,22140,22000,22800
8,22600,22960,25020
9,23680,22960,25060
10,24080,24480,25600
11,25180,24480,26820
12,25180,24480,27960
13,25180,25760,28500
14,25560,25760,28900
15,25800,25760,29660
16,27660,25920,29660
17,28460,25920,30340
18,28460,27820,31900
19,29840,28220,31900
20,29840,28620,32240
21,30700,29020,32980
22,30700,29420,32980
23,30700,29420,32980
24,31080,29420,33960
25,31700,29820,34460
26,32200,30460,34460
27,32240,31640,35220
28,32240,31640,35220
29,32240,32040,35220
30,32580,32040,35220
