,0,1,2
0,10848.0,12232.0,11686.0
1,11352.0,12438.0,13820.0
2,12146.0,13242.0,15590.0
3,12138.0,14340.0,17122.0
4,13564.0,15110.0,18154.0
5,13972.0,15798.0,19806.0
6,15972.0,17046.0,21352.0
7,15972.0,17988.0,21468.0
8,17122.0,18446.0,22344.0
9,17474.0,19448.0,23392.0
10,18394.0,20676.0,23804.0
11,18788.0,21046.0,24014.0
12,19712.0,21482.0,24784.0
13,21480.0,21636.0,25432.0
14,21722.0,22770.0,25726.0
15,22260.0,23512.0,25348.0
16,22308.0,23596.0,25412.0
17,23484.0,23612.0,26404.0
18,24612.0,24022.0,26640.0
19,24870.0,24066.0,26772.0
20,25326.0,25048.0,27062.0
21,25836.0,25476.0,27234.0
22,26556.0,25480.0,27192.0
23,27314.0,25652.0,27100.0
24,27288.0,25750.0,28378.0
25,27310.0,26110.0,28580.0
26,27738.0,26494.0,28840.0
27,28168.0,27012.0,28854.0
28,28278.0,27338.0,28994.0
29,28368.0,27426.0,29018.0
30,29384.0,27312.0,29022.0
