,0,1,2
0,11717.4,11896.8,11633.6
1,13305.2,13431.6,13160.4
2,14705.0,14624.8,14507.4
3,16136.8,16241.2,15512.6
4,17385.0,17566.6,17053.4
5,18577.4,18423.8,18638.0
6,19563.4,19481.0,19696.0
7,20156.0,20241.6,20562.4
8,21337.0,21021.4,21162.2
9,22043.0,21601.4,22033.8
10,22655.0,22588.4,22568.2
11,23203.8,23430.4,23152.0
12,23558.6,23898.0,23847.4
13,24102.8,24243.0,24759.4
14,24804.0,24572.8,25377.8
15,25328.4,25081.6,25844.8
16,25669.0,25352.8,26307.8
17,26122.4,25990.8,26706.8
18,26618.4,26528.4,26948.6
19,27065.8,26836.4,27033.4
20,27468.6,27311.2,27308.6
21,27969.2,27558.2,27448.4
22,28063.4,27805.8,27817.0
23,28245.2,27933.6,28151.2
24,28048.2,28048.6,28552.8
25,28465.0,28209.2,28858.2
26,28572.8,28412.4,28856.0
27,28837.6,28565.2,29025.8
28,29140.2,28589.6,29225.2
29,29211.8,28777.4,29440.2
30,29327.0,28946.4,29650.6
